4p;GameObject;-0,582;0;-0,115;270;0;0;226;-259;5;;
4p;plate;-0,6950005;0,001250051;-0,2445004;270;-4,829672E-06;0;0,226;-0,259;0,0025;;
4p;GameObject (1);-0,582;0;-0,393;270;0;0;226;-484;5;;
4p;plate;-0,6949999;0,001249947;-0,635001;270;-4,829672E-06;0;0,226;-0,484;0,0025;;
4p;GameObject (39);-0,592;0,0025;-0,663;270;0;0;134;-46;3;;
4p;plate;-0,6589995;0,003249961;-0,6860009;270;-4,829672E-06;0;0,134;-0,046;0,0015;;
4p;GameObject (3);-0,6085;0,0025;-0,1375;0;0;0;1;1;1;;
4p;GameObject (2);-0,6215;0,002500026;-0,1210004;270;-4,829672E-06;0;9;-60,00001;2;;
4p;label;-0,6260004;0,003000077;-0,1509999;270;-4,829672E-06;0;0,009000001;-0,06;0,001;;
4p;p2p1ta;-0,6084989;0,002499923;-0,1375012;1,018759E-06;270;-7,923682E-07;0,9999999;1;0,9999998;;
4p;Body1;-0,6084992;0,002499951;-0,1375015;270;270;0;0,09999999;0,09999999;0,1;;
4p;Body1.001;-0,6084992;0,002499951;-0,1375015;270;270;0;0,09999999;0,09999999;0,1;;
4p;Body2;-0,6084992;0,002499951;-0,1375015;270;270;0;0,09999999;0,09999999;0,1;;
4p;Body3;-0,6084992;0,002499951;-0,1375015;270;270;0;0,09999999;0,09999999;0,1;;
4p;p2p1ta (1);-0,6084995;0,002499979;-0,1645004;1,018759E-06;270;-7,923682E-07;0,9999999;1;0,9999998;r;
4p;Body1;-0,6084987;0,002499904;-0,1645009;270;270;0;0,09999999;0,09999999;0,1;;
4p;Body1.001;-0,6084987;0,002499904;-0,1645009;270;270;0;0,09999999;0,09999999;0,1;;
4p;Body2;-0,6084987;0,002499904;-0,1645009;270;270;0;0,09999999;0,09999999;0,1;;
4p;Body3;-0,6084987;0,002499904;-0,1645009;270;270;0;0,09999999;0,09999999;0,1;;
4p;GameObject (4);-0,6085;0,0025;-0,198167;0;0;0;1;1;1;;
4p;GameObject (2);-0,6214996;0,00249999;-0,1816676;270;-4,829672E-06;0;9;-60,00001;2;;
4p;label;-0,6259997;0,003000019;-0,2116683;270;-4,829672E-06;0;0,009000001;-0,06;0,001;;
4p;p2p1ta;-0,6084995;0,002499979;-0,1981674;1,018759E-06;270;-7,923682E-07;0,9999999;1;0,9999998;;
4p;Body1;-0,6084998;0,002500005;-0,1981678;270;270;0;0,09999999;0,09999999;0,1;;
4p;Body1.001;-0,6084998;0,002500005;-0,1981678;270;270;0;0,09999999;0,09999999;0,1;;
4p;Body2;-0,6084998;0,002500005;-0,1981678;270;270;0;0,09999999;0,09999999;0,1;;
4p;Body3;-0,6084998;0,002500005;-0,1981678;270;270;0;0,09999999;0,09999999;0,1;;
