8t;e1;0;0;0;-1,01876E-06;269,9999;-3,433595E-06;0,01;0,01;0,01;;
8t;Body1;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body2;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body3;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body4;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body5;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body6;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body7;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body8;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body9;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body10;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body11;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body12;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body13;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body14;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body15;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body16;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body17;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body18;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body19;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body20;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body21;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body22;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body23;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body24;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body25;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body26;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;Body27;0;0;0;270;269,9999;0;0,1;0,1;0,1;;
8t;dumb_lamp;-0,3509988;0;-0,1460004;270;1,448903E-05;0;1;1;1;;
8t;Body1;-0,3509988;2,607703E-08;-0,1460004;270;1,448902E-05;0;0,1;0,1;0,09999999;;
8t;Body2;-0,3509988;2,607703E-08;-0,1460004;270;1,448902E-05;0;0,1;0,1;0,09999999;;
