,10,11,12,13,14,15,16,17,20,21,22,23,24,25,26,27,30,31,32,33,34,35,36,37,40,41,42,43,44,45,46,47,50,51,52,53,54,55,56,57,60,61,62,63,64,65,66,67
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,13,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,33,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,13,,,,,,,,33,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,13,,,,,,,33,,,,,,,,,,,
53,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,32,,,,,,,,22,,,,,,13,,,,,,33,,,,,,,,,,,,,
51,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,23,,
47,,,,,,,,,,,12,,,,,,,,,,,,,22,,,13,,,,,,,,,,,,,,,,23,,,,,
46,,,,,,,,,,,,,12,,,,,,32,,,,,,,,,,,,33,,,,,,,,,23,,,,,,,,
45,,,,,,,,,,,,,,,,12,,,,,,,,22,,,,,,,,,,,,,23,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,12,,,32,,,13,,,,33,,,,,23,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,23,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,23,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,21,,,,,,,34,14,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,31,,,11,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,21,,,,,,,,,24,,,34,,14,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,21,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,21,,,,,,,,,,,,,11,,,,,,,34,,,,14,,,,,,,,,,,,,,
32,,,,,,,,21,,,,,,,,,31,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,14,,,,,,,,,,,
30,,,,,,,,,,,,,,,31,,,,,,11,,,,,24,,,,,,,,,,,,,,,,,,,,,,
27,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,14,,,,,,,
26,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,34,,,,,,,,14,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,31,,,,,,,11,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,31,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
